Component ID,Component Name,Skill Name,Keywords
1,ButtonComponent,syncfusion-angular-buttons,"button, cta, action, click, primary, secondary, outline, icon, icon button, notification button, profile button, dashboard button"
2,ButtonGroup,syncfusion-angular-buttons,"button group, grouped buttons, radio group, checkbox group, set"
3,FabComponent,syncfusion-angular-buttons,"fab, floating action button, primary action, fixed button"
4,SpeedDialComponent,syncfusion-angular-buttons,"speed dial, fab menu, action menu, floating menu, radial"
5,SwitchComponent,syncfusion-angular-buttons,"switch, toggle, on-off, binary, form, input"
6,RadioButtonComponent,syncfusion-angular-buttons,"radio, radio button, single select, form, choice"
7,DropDownButtonComponent,syncfusion-angular-buttons,"dropdown button, menu button, action menu, dropdown menu, user menu, profile menu, action dropdown, settings menu, user dropdown"
8,SplitButtonComponent,syncfusion-angular-buttons,"split button, dual action, save, primary secondary"
9,ProgressButtonComponent,syncfusion-angular-buttons,"progress button, loading, async, spinner"
10,UploaderComponent,syncfusion-angular-inputs,"upload, file upload, file input, drag drop, file picker, async upload, chunk upload"
11,SignatureComponent,syncfusion-angular-inputs,"signature, sign, handwriting, capture, canvas, digital signature, draw"
12,NumericTextBoxComponent,syncfusion-angular-inputs,"numeric, number, input, currency, percent, spinner, decimal, formatting"
13,SliderComponent,syncfusion-angular-inputs,"slider, range, range slider, dual slider, input, touch, value, handle"
14,TextBoxComponent,syncfusion-angular-inputs,"textbox, text input, input, form, single line, multiline, floating label, icon"
15,TextAreaComponent,syncfusion-angular-inputs,"textarea, multiline text, text input, form, character limit, resize"
16,OtpInputComponent,syncfusion-angular-inputs,"otp, one time password, pin, password input, masked, mfa"
17,CheckBoxComponent,syncfusion-angular-inputs,"checkbox, input, form, toggle, checked, indeterminate, selection"
18,AutoCompleteComponent,syncfusion-angular-dropdowns,"autocomplete, typeahead, suggestions, filtering, grouping, virtualization"
19,ComboBoxComponent,syncfusion-angular-dropdowns,"combobox, combo box, dropdown, input, search, hybrid, filtering"
20,DropDownListComponent,syncfusion-angular-dropdowns,"dropdown, dropdown list, select, single select, selection"
21,ListBoxComponent,syncfusion-angular-dropdowns,"listbox, list, selection, multi select, checkboxes, drag drop"
22,MentionComponent,syncfusion-angular-dropdowns,"mention, tag, @mention, #hashtag, suggestion popup, inline"
23,MultiSelectComponent,syncfusion-angular-dropdowns,"multiselect, multi select, dropdown, multiple selection, filtering"
24,MultiColumnComboBoxComponent,syncfusion-angular-dropdowns,"multicolumn combobox, tabular dropdown, grid dropdown, structured data"
25,DatePickerComponent,syncfusion-angular-datepicker,"datepicker, date picker, single date, calendar, selection, popup, localization"
26,DateRangePickerComponent,syncfusion-angular-daterangepicker,"date range picker, date range, range selection, preset ranges, start end date"
27,DateTimePickerComponent,syncfusion-angular-datetimepicker,"datetime picker, date time, combined date time, time selector, calendar time"
28,TimePickerComponent,syncfusion-angular-timepicker,"timepicker, time picker, time selection, 24-hour, 12-hour, time format"
29,CalendarComponent,syncfusion-angular-calendar,"calendar, date selection, month view, year view, decade view, multiple dates"
30,TabComponent,syncfusion-angular-tabs,"tab, tabs, navigation, header, content switching, lazy loading, drag drop, reorder"
31,SidebarComponent,syncfusion-angular-sidebar,"sidebar, navigation drawer, menu drawer, collapsible panel, responsive, dock, overlay, mobile menu, vertical navigation, sidebar navigation, collapsible menu, navigation menu, icons vertical"
32,DialogComponent,syncfusion-angular-popups,"dialog, modal, popup, overlay, window, alert, confirmation, form, draggable, resizable"
33,TooltipComponent,syncfusion-angular-popups,"tooltip, hover, contextual info, information, help text, popup, dynamic positioning"
34,CarouselComponent,syncfusion-angular-carousel,"carousel, slider, image slider, slideshow, swiper, gallery, auto-play, touch, swipe, indicators"
35,GridComponent,syncfusion-angular-grid,"grid, data grid, table, data table, sorting, filtering, paging, editing, grouping, aggregation, virtualization, export, hierarchy, data table sortable filterable paginated, data grid table sortable, grid table"
36,ChartComponent,syncfusion-angular-chart,"chart, graph, visualization, data visualization, line, area, column, bar, pie, financial, analytics, dashboard, chart visualization bar line area column, chart area, visualization chart"
37,KanbanComponent,syncfusion-angular-kanban,"kanban, kanban board, card board, workflow, task management, drag drop, columns, swimlanes, agile, wip"
38,BreadcrumbComponent,syncfusion-angular-breadcrumb,"breadcrumb, navigation, hierarchical, path, breadcrumbs, routing, overflow, menu, parent page"
39,StepperComponent,syncfusion-angular-stepper,"stepper, step, wizard, multi-step form, progress, workflow, linear, validation, onboarding, checkout"
40,SplitterComponent,syncfusion-angular-splitter,"splitter, layout, pane, resizable, panels, draggable, separator, multi-pane, nested, split view"
41,AppBarComponent,syncfusion-angular-appbar,"appbar, app bar, header, navigation bar, action bar, responsive, sticky, branding, top bar, icon button header, notification header, notification icon, notification bell, badge header, profile menu header, top navigation, header navigation, fixed header, top bar logo, logo header, logo appbar, brand logo, company logo, image logo header, logo branding, page title, heading header, text header, label header, typography header, heading appbar, title appbar, text content appbar, content header, page heading"
42,TreeViewComponent,syncfusion-angular-treeview,"treeview, tree, hierarchical, folder, nested, expandable, collapse, selection, hierarchy, parent-child, nodes"
43,ToastComponent,syncfusion-angular-notifications,"toast, notification, alert, toast notification, temporary, dismissible, action, close, notification badge, notification bell, notification icon, badge notification"
44,MessageComponent,syncfusion-angular-notifications,"message, alert, notification, warning, error, success, info, dismissible"
45,SkeletonComponent,syncfusion-angular-notifications,"skeleton, skeleton loading, placeholder, loading state, content loading, shimmer, pulse"
46,TreeGridComponent,syncfusion-angular-treegrid,"treegrid, tree grid, hierarchical data, data table, sorting, filtering, paging, editing, aggregation, hierarchy"
47,PivotViewComponent,syncfusion-angular-pivot-table,"pivot, pivot table, pivot grid, data analysis, aggregation, grouping, summarization, drill-down, fieldlist, olap, business intelligence, bi, calculated fields, conditional formatting, excel export, kpi, metrics, dashboard, pivot chart, dimensions, measures, subtotal, grand total, crosstab"
48,ScheduleComponent,syncfusion-angular-scheduler,"schedule, scheduler, calendar, appointment, event, meeting, recurring, resource scheduling, week view, month view, day view"
